CANADA ENERGY REGULATOR - REGULATORY INSTRUMENTS REPORT - SEPTEMBER 2014 TO 30 SEPTEMBER 2019,,,,,,,,,,,,,,
File Number,"Regulatory 
Instrument 
Number",Issued To Company,"Board 
Item Identifier",,"Issued 
Date","Effective 
Date","Expire 
Date",Sunset Date,"Gic 
Approval 
Required","Sent To
Minister 
Date","Minister To 
Privy Council 
Office Date","Privy Council
Office Approval 
Number","Privy Council 
Office Approval 
Date","Reg Docs 
Number"
OF-Fac-OtherComm-C991-2016-01 01,MO-020-2017,CommanditÇ gestion energy windmill DREAM QuÇbec inc.,170407.5,4/7/2017,4/7/2017,4/7/2017,,4/7/2018,No,,,,,A82500
OF-Fac-Oil-P384-2016-02 01,MO-015-2017,Kinder Morgan Cochin ULC,170407.4,4/7/2017,4/7/2017,4/7/2017,,6/7/2017,No,,,,,A82514
OF-Fac-Oil-T260-2013-03 03,Letter,Trans Mountain Pipeline ULC,,4/7/2017,4/7/2017,4/7/2017,,,No,,,,,"A82506, A82504"
OF-Fac-Gas-N081-2017-03 01,Letter,NOVA Gas Transmission Ltd.,170407.1,4/7/2017,4/7/2017,4/7/2017,,,No,,,,,A82499
OF-Tolls-Group1-A159-2017-02 01,Letter,Alliance Pipeline Ltd.,170407.2,4/7/2017,4/7/2017,4/7/2017,,,No,,,,,A82511
OF-Fac-Gas-N081-2016-06 01,GPLO-N081-012-2017,NOVA Gas Transmission Ltd.,170406.1,4/6/2017,4/6/2017,4/6/2017,,,No,,,,,A82484
OF-Fac-Gas-T211-2015-05 02,Letter,TransCanada PipeLines Limited,170406.2,4/6/2017,4/6/2017,4/6/2017,,,No,,,,,A82474
OF-EI-Gas-GO-P748 01,GO-043-2017,PetroChina International (Canada) Trading Ltd.,170405.6,4/5/2017,4/5/2017,5/15/2017,5/14/2019,,No,,,,,A82460
OF-Fac-CLP-T201-2015 01,AO-001-MO-025-2016,Trans QuÇbec and Maritimes Pipeline Inc.,170405.2,4/5/2017,4/5/2017,4/5/2017,,,No,,,,,A82459
OF-EI-Gas-GO-C998 01,GO-039-2017,Citadel Energy Marketing LLC,170405.1,4/5/2017,4/5/2017,5/4/2017,5/3/2019,,No,,,,,A82452
OF-EI-Gas-GO-C998 01,GO-040-2017,Citadel Energy Marketing LLC,170405.1,4/5/2017,4/5/2017,5/4/2017,5/3/2019,,No,,,,,A82452
OF-EI-Gas-GO-R043 01,GO-042-2017,Rainbow Energy Marketing Corporation,170405.5,4/5/2017,4/5/2017,4/6/2017,4/5/2019,,No,,,,,A82457
OF-EI-Oil-ST-R043 01,ROE-150-2017,Rainbow Energy Marketing Corporation,170405.3,4/5/2017,4/5/2017,4/5/2017,12/31/2017,,No,,,,,A82461
OF-EI-Gas-PB-ST-R043 01,EPR-072-2017,Rainbow Energy Marketing Corporation,170405.4,4/5/2017,4/5/2017,4/5/2017,12/31/2017,,No,,,,,A82451
OF-EI-Gas-PB-ST-R043 01,EBU-055-2017,Rainbow Energy Marketing Corporation,170405.4,4/5/2017,4/5/2017,4/5/2017,12/31/2017,,No,,,,,A82451
OF-Fac-Oil-P123-2016-01 01,OPLO-P123-001-2017,"Pouce CoupÇ Pipe Line Ltd. as agent and 
general partner of the Pembina North Limited Partnership",170404.1,4/4/2017,4/4/2017,4/4/2017,,,No,,,,,A82441
OF-EI-Gas-GO-R043 01,GO-041-2017,Rainbow Energy Marketing Corporation,170405.5,4/4/2017,4/4/2017,4/6/2017,4/5/2019,,No,,,,,A82457
OF-EI-Gas-GOL-J238 01,GOL-002-2017,"Just Energy Ontario L.P. by and through it's 
general partner Just Energy Corp.",170403.7,4/3/2017,4/3/2017,11/1/2017,10/31/2019,,No,,,,,A82424
OF-Fac-Gas-N081-2015-24 01,GPSO-N081-003-2017,NOVA Gas Transmission Ltd.,170403.5,4/3/2017,4/3/2017,4/3/2017,,,No,,,,,A82428
OF-Fac-Gas-W102-2015-15 01,GPLO-W102-011-2017,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170403.6,4/3/2017,4/3/2017,4/3/2017,,,No,,,,,A82425
OF-Fac-Gas-N081-2016-03 01,Letter,NOVA Gas Transmission Ltd.,170403.4,4/3/2017,4/3/2017,4/3/2017,,,No,,,,,A82421
OF-Fac-Oil-E101-2017-01 01,MO-019-2017,Enbridge Pipelines Inc.,170403.2,4/3/2017,4/3/2017,4/3/2017,,4/3/2018,No,,,,,A82426
OF-EI-Elec-J707-2016-01 01,AO-001-EPE-415,Just Energy Solutions Inc.,170403.3,4/3/2017,4/3/2017,4/3/2017,9/21/2026,,No,,,,,A82422
OF-EI-Gas-GO-M130 01,GO-038-2017,"Montana-Dakota Utilities Co. A Division of MDU Resources Group, Inc.",170331.6,3/31/2017,3/31/2017,5/6/2017,5/5/2019,,No,,,,,A82407
OF-EI-Gas-GO-P736 01,GO-036-2017,PAA Natural Gas Canada ULC,170331.2,3/31/2017,3/31/2017,4/22/2017,4/21/2019,,No,,,,,A82410
OF-EI-Gas-GO-P736 01,GO-037-2017,PAA Natural Gas Canada ULC,170331.2,3/31/2017,3/31/2017,4/22/2017,4/21/2019,,No,,,,,A82410
OF-EI-Gas-GO-J703 01,GO-034-2017,Just Energy New York Corp.,170331.1,3/31/2017,3/31/2017,8/5/2017,8/4/2019,,No,,,,,A82383
OF-EI-Gas-GO-J703 01,GO-035-2017,Just Energy New York Corp.,170331.1,3/31/2017,3/31/2017,8/5/2017,8/4/2019,,No,,,,,A82383
OF-Fac-Gas-N081-2017-02 01,Letter,NOVA Gas Transmission Ltd.,170331.4,3/31/2017,3/31/2017,3/31/2017,,,No,,,,,A82408
OF-Fac-Gas-W102-2017-03 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170331.3,3/31/2017,3/31/2017,3/31/2017,,,No,,,,,A82370
OF-Fac-Gas-W102-2017-03 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170331.5,3/31/2017,3/31/2017,3/31/2017,,,No,,,,,A82399
OF-EI-Gas-GO-S180 01,GO-033-2017,Suncor Energy Marketing Inc.,170330.6,3/30/2017,3/30/2017,6/16/2017,6/15/2019,,No,,,,,A82343
OF-EI-Gas-GO-J238 01,GO-031-2017,"Just Energy Ontario L.P. by and through it's 
general partner Just Energy Corp.",170330.2,3/30/2017,3/30/2017,8/3/2017,8/2/2019,,No,,,,,A82337
OF-EI-Gas-GO-J238 01,GO-032-2017,"Just Energy Ontario L.P. by and through it's 
general partner Just Energy Corp.",170330.2,3/30/2017,3/30/2017,11/1/2017,10/31/2019,,No,,,,,A82337
OF-Fac-Gas-W102-2015-12 01,GPSO-W102-002-2017,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170330.7,3/30/2017,3/30/2017,3/30/2017,,,No,,,,,A82344
OF-Fac-Gas-N081-2016-06 01,GPLO-N081-010-2017,NOVA Gas Transmission Ltd.,170330.3,3/30/2017,3/30/2017,3/30/2017,,,No,,,,,A82339
OF-Fac-Oil-E256-2016-01 01,MO-018-2017,"Enbridge Bakken Pipeline Company Inc., on behalf of 
Enbridge Bakken Pipeline Limited Partnership",170330.5,3/30/2017,3/30/2017,3/30/2017,,,No,,,,,A82348
OF-Fac-IPL-H117-2016-03 01,MO-017-2017,Hydro One Networks Inc.,170330.4,3/30/2017,3/30/2017,3/30/2017,,3/30/2018,No,,,,,A82346
OF-EI-Elec-N149-2016-01 01,EPE-423,Northland Power,170329.5,3/29/2017,3/29/2017,3/29/2017,3/28/2022,,No, ,,,,A82332
OF-Fac-Oil-E101-2017-03 01,MO-016-2017,Enbridge Pipelines Inc.,170324.2,3/29/2017,3/29/2017,3/29/2017,,,No,,,,,A82323
OF-Fac-Gas-G420-2017-01 01,Letter,Great Lakes Pipeline Canada Ltd.,170329.4,3/29/2017,3/29/2017,3/29/2017,,,No,,,,,A82328
OF-Surv-Land-T260 03,Letter,Trans Mountain Pipeline ULC,170330.1,3/29/2017,3/29/2017,3/29/2017,,,No,,,,,
OF-Fac-Oil-T260-2013-03 04,Letter,Trans Mountain Pipeline ULC,,3/28/2017,3/28/2017,3/28/2017,,,No,,,,,A82286
OF-Fac-Oil-T260-2013-03 05,Letter,Trans Mountain Pipeline ULC,,3/28/2017,3/28/2017,3/28/2017,,,No,,,,,A82285
OF-EI-Gas-PB-ST-K098 01,EPR-071-2017,Kiva Energy Inc.,170327.1,3/27/2017,3/27/2017,3/27/2017,12/31/2017,,No,,,,,A82268
OF-Fac-Gas-N081-2016-05 01,GPMO-N081-005-2017,NOVA Gas Transmission Ltd.,170324.1,3/24/2017,3/24/2017,3/24/2017,,,No,,,,,A82245
OF-Tolls-Group1-E101-Leg 01,Letter,Enbridge Pipelines Inc.,170323.3,3/23/2017,3/23/2017,3/23/2017,,,No,,,,,A82224
OF-EI-Gas-GO-S312 01,GO-030-2017,St. Lawrence Gas Company Inc.,170323.2,3/23/2017,3/23/2017,4/1/2017,3/31/2019,,No,,,,,
OF-Surv-FIns-W102-2016 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170323.1,3/23/2017,3/23/2017,3/23/2017,,,No,,,,,
OF-Fac-Oil-E256-2016-02 01,MO-014-2017,"Enbridge Bakken Pipeline Company Inc., on behalf of 
Enbridge Bakken Pipeline Limited Partnership",170322.2,3/22/2017,3/22/2017,3/22/2017,6/20/2017,,No,,,,,"A82213, A84588"
OF-Fac-Gas-M182-2017-01 01,AO-001-XG-M29-61-94,"Many Islands Pipe Lines 
(Canada) Limited",170322.3,3/22/2017,3/22/2017,3/22/2017,,,No,,,,,A82199
OF-Tolls-Group1-W102-2017-01 01,TG-002-2017,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170322.1,3/22/2017,3/22/2017,3/22/2017,,,No,,,,,A82201
OF-EI-Gas-GO-N729 01,GO-028-2017,New England NG Supply Limited,170322.4,3/22/2017,3/22/2017,5/1/2017,4/30/2019,,No,,,,,A82214
OF-EI-Gas-GO-N729 01,GO-029-2017,New England NG Supply Limited,170322.4,3/22/2017,3/22/2017,5/1/2017,4/30/2019,,No,,,,,A82214
OF-EI-Gas-GO-M710 01,GO-026-2017,Mieco Inc.,170321.1,3/21/2017,3/21/2017,5/17/2017,5/16/2019,,No,,,,,A82175
OF-EI-Gas-GO-M710 01,GO-027-2017,Mieco Inc.,170321.1,3/21/2017,3/21/2017,5/17/2017,5/16/2019,,No,,,,,A82175
OF-Fac-Gas-W102-2015-15 01,GPLO-W102-009-2017,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170321.2,3/21/2017,3/21/2017,3/21/2017,,,No,,,,,A82184
OF-Fac-Oil-T309-2016-01 01,AO-001-OC-4,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-OC-050,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-MO-1-81,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-13-91,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-001-2006,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-009-2009,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-040-2013,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-006-2014,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-MO-062-2015,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-2-62,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-5-62,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-6-62,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-7-62,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-4-63,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-1-64,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-4-65,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-5-65,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-6-65,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-xo-1-81,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-12-91,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-004-1999,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-11-99,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-017-2000,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-021-2000,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-022-2000,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-028-2000,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-06-2001,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-009-2001,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-012-2001,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-39-2001,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-011-2002,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-024-2002,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-019-2004,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-001-2008,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-E103-002-2010,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-006-2010,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-E103-014-2012,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-E103-006-2013,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-E103-019-2014,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-036-1993,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-17-94,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-32-94,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-12-95,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-13-95,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W002-15-95,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-26-95,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-002-XO-W2-21-96,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-26-96,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-6-97,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-16-97,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-17-97,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-25-97,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-002-1998,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-14-98,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-33-98,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-2-65,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/22/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-4-66,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-2-67,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-1-68,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-2-69,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-4-70,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-3-71,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-5-72,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-4-73,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-2-74,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-3-75,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-6-76,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-2-77,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-7-79,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-8-79,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-5-80,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-6-81,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-6-82,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-8-83,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-9-84,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XOM-5-88,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-001-XO-W2-20-94,TEML Westspur Pipelines Limited,170320.1,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,A82178
OF-Fac-Oil-T309-2016-01 01,AO-003-XO-E103-06-2006,TEML Westspur Pipelines Limited,,3/20/2017,3/21/2017,3/20/2017,,,No,,,,,
OF-Fac-Gas-D080-2016-01 01,Letter,Delphi Energy Corporation,170320.2,3/20/2017,3/20/2017,3/20/2017,,,No,,,,,A82164
OF-Tolls-Group2-P384-2016 01,PO-004-RH-002-2016,Plains Midstream Canada ULC,,3/16/2017,3/20/2017,3/20/2017,,,No,,,,,A82170
OF-Tolls-Group1-T217-2017-01 01,TO-001-2017,Trans-Northern Pipelines Inc.,170320.3,3/20/2017,3/17/2017,3/17/2017,,,No,,,,,A82165
OF-EI-Gas-GO-C295 01,GO-025-2017,Centra Gas Manitoba Inc.,170316.2,3/16/2017,3/16/2017,4/1/2017,3/31/2019,,No,,,,,A82116
OF-Fac-Gas-N081-2013-17 02,Letter,NOVA Gas Transmission Ltd.,170316.1,3/16/2017,3/16/2017,3/16/2017,,,No,,,,,A82118
OF-Fac-Oil-E101-2017-05 01,Letter,Enbridge Pipelines Inc.,170315.4,3/16/2017,3/16/2017,3/16/2017,,,No,,,,,A82109
OF-Tolls-Group1-T211-FinAud 04,Letter,TransCanada PipeLines Limited,170308.3,3/15/2017,3/15/2017,3/15/2017,,,No,,,,,A82077
OF-Fac-Oil-T260-2017-05 01,Letter,Trans Mountain Pipeline ULC,170315.1,3/15/2017,3/15/2017,3/15/2017,,,No,,,,,A82093
OF-Fac-Gas-T211-2017-03 01,Letter,TransCanada PipeLines Limited,170315.2,3/15/2017,3/15/2017,3/15/2017,,,No,,,,,A82094
OF-Fac-Gas-T211-2017-04 01,Letter,TransCanada PipeLines Limited,170315.3,3/15/2017,3/15/2017,3/15/2017,,,No,,,,,A82095
OF-Fac-NOMA-T260-2017 01,Letter,Trans Mountain Pipeline ULC,170315.5,3/15/2017,3/15/2017,3/15/2017,,,No,,,,,A82091
OF-EI-Gas-GO-G414 01,RO-GO-127-2016,Trans Mountain Pipeline ULC,170314.3,3/14/2017,3/14/2017,3/14/2017,,,No,,,,,A82072
OF-Fac-Gas-N081-2014-20 02,GPLO-N081-008-2017,NOVA Gas Transmission Ltd.,170314.5,3/14/2017,3/14/2017,3/14/2017,,,No,,,,,A82067
OF-EI-Oil-ST-R746 01,ROE-149-2017,Rio Energy International Inc,170314.4,3/14/2017,3/14/2017,3/15/2017,12/31/2017,,No,,,,,A82068
OF-EI-Oil-ST-A787 01,RO-ROE-060-2017,ARB Midstream Logistics Canada ULC,170314.2,3/14/2017,3/14/2017,3/14/2017,3/14/2017,,No,,,,,A82074
OF-Fac-Gas-T211-2017-01 01,Letter,TransCanada PipeLines Limited,170314.1,3/14/2017,3/14/2017,3/14/2017,,,No,,,,,A82070
OF-Fac-Gas-S383-2016-02 01,AO-004-XG-N62-5-96,Spectra Energy Midstream Canada Partner Corporation,170217.6,2/21/2017,3/13/2017,2/21/2017,,,No,,,,,A82053
OF-Fac-Gas-S383-2016-02 01,AO-006-XG-Z007-03-2005,Canadian Natural Resources Limited,170217.6,2/21/2017,3/13/2017,2/21/2017,,,No,,,,,A82053
OF-Fac-Gas-C965-2016-02 01,ZO-C965-002-2017,ConocoPhillips Canada Operations Ltd.,,3/7/2017,3/8/2017,3/7/2017,3/7/2019,,No,,,,,A82012
OF-Fac-Gas-W102-2016-13 01,XG-W102-002-2017,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",170308.4,3/8/2017,3/8/2017,3/8/2017,,3/8/2018,No,,,,,A82013
