receiver,name
NOVA Gas Transmission Ltd.,C04084-1 Letter to NOVA Gas Transmission Ltd. - Project Updates and Corrections to Schedule A of the Order XG-028-2019 - A7C5W0
TransCanada PipeLines Limited,C1-1 - TCPL Tariff Proposals - APPrO Notice of Intention to Participate - A3I6J3 
TransCanada PipeLines Limited,C1-2 - RH-002-2013 - Letter to NEB re Process - Final - A3L3J3 
,C1-7-1  - AFN COTTFN Letter re Final Argument  A3L2F8
EnCana Corporation,C10-1 - Encana Corporation - Notice of Intention to Participate Mainline RH-001-2013 - A3I6J1 
Enbridge Pipelines Inc.,C12-9-1 - Letter appearance in Toronto FinalArgumentLetter  A3K9U7
Enbridge Pipelines Inc.,C13-9 - Intention to present oral final argum. A3L2E0
,C16-5-1 - Letter - Intention for Final Argument- A3K5Q5
,C16-6-1 - GLSLCI Letter to the NEB - Public Hearings  A3L1D4 
Trans Mountain Pipeline ULC,C17-1 - Alberta Department of Energy - Application for Intervention - 11102012 - A3C1Z3
TransCanada PipeLines Limited,C2-1 - EGDI Participation Letter - A3L3T0 
,C20-1a - ADOE MH-001-2013 LMCI Application for Intervention - July 24 2013 - A3J4K1 
Enbridge Pipelines Inc.,C21-13 - OPLA Letter re Oral Final Argument  A3L0I3 
,C21-1 - Cenovus Energy Inc. and Encana Corporation - 7-Oct-11 Letter to NEB re Conference - A2F0X6
TransCanada PipeLines Limited,C22-1 - ADOE Application for Intervention - TransCanada Tariff Proposals - A3I6A7 
TransCanada PipeLines Limited,"C3-1 - IGCAA October 6, 2011 Pre-Hearing Conference Registration Letter to NEB re RH-3-2011 - A2E9G9 "
TransCanada PipeLines Limited,C3-1 - IGUA Notice of Intention to Participate - A3I5Z1 
,C3-7- Letter  Request for a Translator - A2R4Q1 
Enbridge Pipelines Inc.,C31-1 - Enbridge Pipelines Inc. and Enbridge Inc. - Participation in pre-hearing planning conference - A2F0X0
,C319-10-2 - Squamish Nation - Index of Place Names (00974504) - A4D5J3
Enbridge Pipelines Inc.,C32-4-1 - SEMI  Responses to NEB Information Request No 1- Cover Letter A3K8G5
Enbridge Pipelines Inc.,C32-5-1  Cover Letter to NEB re French translation of Response to NEB IR #1  A3L0X8 -
Enbridge Pipelines Inc.,C32-6-1  - Suncor Letter of Intention for Final Argument  A3L2R7
Enbridge Pipelines Inc.,C35-1-1 - ADOE OH-2-2013 Appl for Intervention Ltr - A3G9T1
Enbridge Pipelines Inc.,C35-2-1  ADOE Hearing Participation - A3L0F8
Trans Mountain Pipeline ULC,C358-13-1 - Cover ltr NEB re TWN Written Evidence - A4L5Z2
TransCanada PipeLines Limited,C4-1 - ADOE RH-002-2013 ADOE Intervention - TransCanada TAPS Applications - A3L3S8 
,C50-6-1 etter of Intent to Participate in Oral Hearing  A3L2Q5 - Enbridge 
Enbridge Pipelines Inc.,C59-12-1 - Letter - Request for extension to deliver evidence  A3K0H0
TransCanada PipeLines Limited,C64-1-1 - Union lGas Limited etter to NEB October 2011 - A2F1C9
TransCanada PipeLines Limited,C68-1 - Alberta Submission to NEB - RH-003-2011 - PreHearing Conference - October 7 2011 - A2F0U6 
,C69-3-1 - City of Burnaby - Response to Notice of Motion of Robyn Allan - A3W0L2
Trans Mountain Pipeline ULC,C69-36-1 - City of Burnaby - Notice of Motion - TERMPOL IR 2(b) - A4J9J5
TransCanada PipeLines Limited,C9-1 - AltaGas Ltd. - Conference - A2E9R9
Trans Mountain Pipeline ULC,C9-30-1 - Reply Letter Motion 10 to Dismiss - A4I7J9
,C9-31-1 - Withdrawal Letter - A4L3S6
,C9-6-1 - CEP letter - Final Argument  A3L2I7 
,Consideration of Aboriginal Concerns in National Energy Board Decisions (A0T5X3)
,Consultation on Proposed Regulatory Amendments - A4R0Q7
,D-124B - Sierra Club - Form Letter - A2S5Q7
,"D25-21-1 - Response to JRP Request for Comments, Gitxaala Nation Notice of Constitutional Question - A3E0L9"
,D35-25-4 - Coastal First Nations - Great Bear Initiative - Case Evidence #2 - A2V1W1
,"D44-6-1 - Cullen, Nathan - Letter re Witness List - Questioning Phase - A2V5J1"
,"D44-8-1 - Cullen, Nathan - Letter re Witness List follow-up - A2Z2Z8"
,D80-15-1 - Haisla Nation - Providing oral history witnesses A2E3D8
,"D80-47-1 - Haisla Nation - Corrections to Phonetic Misspellings in the Transcript of Haisla Nation Oral Evidence, January 10, 2012 - A2T9T6"
Enbridge Pipelines Inc.,English Letter  - A4Q5Z3
Imperial Oil,ENVCA-20D - Exhibit 3- Mackenzie Gas Project Response to JRP Topic 17 Recommendations (J-IORVL-01040) (A1S0R7)
Imperial Oil,"ENVCA-20E  - Exhibit 4- The Evaluation of Reservoir Compaction and Surface Subsidence Potential for the Parsons Lake Field, Mackenzie Delta – Northwest Territories, Canada (J-IORVL-00544) (A1S0R8)"
Imperial Oil,"ENVCA-20J  - Exhibit 9- Mackenzie Gas Project Response to Joint Review Panel Information Request Round 5, Question 33 (J-IORVL-00934) (A1S0S3)"
,G-6-b -- A0S9E7 - A Guide to Environmental Impact Assessment in New Brunswick
Sea Breeze Victoria Converter Corporation,"GNWT-14 - Letter to NEB dated May 1, 2006 (A0U1J6)"
,Intervention (A0D2C1)
,Intervention (A0D2D3)
,Intervention (A0D2X6)
,Intervention (A0D2Y2)
The Queen in Right of the Province of New Brunswick,Intervention (A0D8Y1)
,Intervention (A0D9G0)
,Letterto Canada Imperial Oil Limited re gas export and import - A3W0H1
,Letter (A0C7D3)
,Letter (A0C7G3)
TransCanada PipeLines Limited,Letter (A0C7Y1)
Canada Inc.,Letter (A0D3D1)
Canadian Forest Oil Ltd,Letter (A0D4R8)
,Letter (A0D8X9)
The Queen in Right of the Province of New Brunswick,Letter (A0D8Y3)
Emera Energy Inc,Letter (A0D9C8)
Chevron Canada Resources,Letter (A0D9D4)
The Queen in Right of the Province of New Brunswick,Letter (A0D9F8)
The Queen in Right of the Province of New Brunswick,Letter (A0D9H5)
,Letter (A0D9H9)
The Queen in Right of the Province of New Brunswick,Letter (A0D9I1)
New Brunswick Power Corporation,Letter (A0D9I3)
"Williams Energy (Canada), Inc.",Letter (A0D9I5)
,Letter (A0D9K5)
"Williams Energy Marketing & Trading Canada, Inc.",Letter (A0D9T3)
,Letter (A0D9Z5)
The Queen in Right of the Province of New Brunswick,Letter (A0E0A5)
The Queen in Right of the Province of New Brunswick,Letter (A0E0F1)
The Queen in Right of the Province of New Brunswick,Letter (A0E0U3)
The Queen in Right of the Province of New Brunswick,Letter (A0E0U6)
,Letter (A0E0U9)
The Queen in Right of the Province of New Brunswick,Letter (A0E1K0)
,Letter (A0R5U7)
,Letter - A3S5Z4
,Letter - A3U6V0
Trans Mountain Pipeline ULC,Letter - A3V1A3
,Letter - A3V4I7
Enbridge Pipelines Inc.,Letter - A3Z2K3
"Great Bay Energy VI, LLC",Letter - A3Z8R0
Rainbow Energy Marketing Corporation,Letter - A4A4R0
NOVA Gas Transmission Ltd.,Letter - A4D2E6
Canada Inc.,Letter - A4D5Q5
Trans Mountain Pipeline ULC,Letter - A4G7F0
,Letter - A4L4S5
,Letter - A4R7R4
,Letter - Relocation of NEB Offices - A3W3T1
Steelhead LNG (A) Inc.,Letter and Revised Notice to Steelhead LNG - A4A8E5
,Letter only - A4A3K5
TransCanada PipeLines Limited,Letter regarding Pipeline Abandonment Trusts to TransCanada Companies - A4U4C3
Alberta Ltd,Letter to 1057533 Alberta Ltd. Gething Source Water Pipeline Tie-in - A3T0K6
AltaGas Ltd.,Letter to AltaGas Ltd. Export Permit Withdrawal - A3Z5V8
,Letter to Atlantic Power Energy Services (Canada) Inc. - A3V1F9
A C LNG INC.,Letter to A C LNG Inc. - Notice of Application and Comment Period - A4T8K4
BP Canada Energy Company,Letter to BP Canada - A3U1Q3
Canada Stewart Energy Group Ltd.,Letter to Canada Stewart Energy Group Ltd. - Application for Licence to Export Gas as Liquefied Natural Gas - A4T3S2
Hydro-Québec,Letter to Cedars Rapids Transmission Company Limited - A4E7L0
,Letter to Chevron Alberta Gas Storage ULC - A3V3A4
,Letter to Concord Energy LLC - A3X3W9
,"Letter to Corporation Champion Pipe Line Limitée - Application for authorization to relocate the pipeline along a portion of the dam complex in Témiscamingue, Ontario - A4A3Y6"
Trans Mountain Pipeline ULC,Letter to Darryl Carter on behalf of Diane Murray - Late Participation Status - A3Y0H3
Enbridge Pipelines Inc.,Letter to Enbridge Pipelines (Westpur) Inc. - A3Z6W7
Enbridge Pipelines Inc.,Letter to Enbridge Pipelines Inc. - A3W4E5
Enbridge Pipelines Inc.,Letter to Enbridge Pipelines Inc - A3V4A0
,Letter to Energy West Resources - Lettre à Energy West Resources - A3V0Z7
,Letter to Fathom Energy Inc. re propane and butane export - A3R4R9
,Letter to Ferrell North America re propane and butane export - A3R4S3
,Letter to Gas Supply Resources Holdings Inc. re propane and butane export - A3R4S7
,"Letter to Gavilon, LLC re propane export - A3R4T1"
,Letter to Gestion Énergie Québec Inc. re propane export - A3R4L3
,Letter to GFL Environmental Inc. - Short term heavy and light crude export - A3S5S4
,"Letter to Gibson Energy ULC, Managing Partner of Gibson Energy Partnership - A3R3V5"
,Letter to Gibson Energy ULC re propane and butane export - A3R4L7
,Letter to Global Companies LLC re propane and butane export - A3R4Q1
,"Letter to Global Gas, Inc. re propane export - A3R4Q5"
Hydro-Québec,Letter to Hydro-Québec ZO-Q016-001-2014 to ZO-Q016-009-2014 - A3T1T1
Hydro One Networks Inc.,Letter to Hydro One Exemption request PRC-006-1 - A4A0H0
,"Letter to Iberdrola Canada Energy Services, Ltd. - A3U8T4"
,"Letter to Iberdrola Energy Services, LLC - A3U8T0"
,Letter to Imperial Oil Resources Limited in its capacity as general and limited partner of Imperial Oil Resources - A3W0F6
,Letter to J. Aron and Company re oil export - A3R5Q7
,Letter to MacEwen Petroleum Inc. - Export on a Short term basis - A3R3V1
,Letter to Macquarie Oil Services Canada Ltd. - A3R4T5
,Letter to Marathon Oil Canada Corporation - short term export - A3S5U2
,Letter to Marathon Petroleum Trading Canada LLC - A3R5G5
,Letter to Marathon Petroleum Trading Canada LLC - Export on Short Term basis - A3R3V9
,"Letter to Merrill Lynch Commodities, Inc. - A3V5T1"
,Letter to MX Petoleum Corp. - A3R5I1
,Letter to NEB Regulated Companies re Traditional Territory Analysis for Non-Hearing Applications - A3T1R5
Enbridge Pipelines Inc.,Letter to NEB re Plan Profile and Book of Reference and Section 34 Notices - A3V8X6
,Letter to NGL Supply Co. Ltd. - A3R5J7
NOVA Gas Transmission Ltd.,Letter to NGTL regarding an Application for Alces River B2 and Saddle Hills Compressor Stations Modifications under section 58 of the NEB Act - Legislated Time Limit and Decision on Process - A4J8E3
,Letter to Noble Americas Gas & Power Corp. - A3V2I7
NOVA Gas Transmission Ltd.,Letter to NOVA Gas Transmission Ltd. - Little Sundance Receipt Meter Station - A4I1Y6
,Letter to Pacific Summit Energy LLC-GO-067-2014 - A3Z2I8
,Letter to Parties  Names in the Distribution List for the 2009 Review of the Multi-Pipeline Cost of Capital Decsion (RH-2-94) - A3R7T5
,"Letter to Puget Sound Energy, Inc. Natural Gas Short-Term Export Order GO-017-2014 - A3U8A5"
,Letter to Shell Canada Limited re propane and butane export - A3S6J5
,Letter to Spectra Energy Empress Management Inc. re propane and butane export - A3S6J9
,Letter to State Resources Investment Corporation re propane and butane export - A3S6K3
,Letter to Statoil Canada Ltd. - A3S5T5
,Letter to Stittco Energy Limited - A3S5Y2
,Letter to Superior Gas Liquids - exportation of propane - A3S5Z8
,Letter to Superior General Partner Inc. on behalf of Superior Plus LP - A3S5Y6
,"Letter to Targa Canada Liquids, Inc. - A3S5Z0"
,Letter to TransCanada - Prairie Tie-In Project Legislated Time Limit and Decision on Process - A4R7C0
,Letter to TransCanada Pipelines Ltd. - Parkway West Project - Legistlated Time Limit and Decision on Process - A4I1Y3
,Letter to Trans Quebec and Maritimes Pipeline Inc. re Application for Lachenaie Receipt Meter Station Project - A3V2Q8
Woodside Energy Holdings Pty Ltd.,letter to Woodside Energy Holdings Pty Ltd. - A4L2E6
,Letter  to Flint Hills Resources LP Export  on short term basis - A3R3U7
NOVA Gas Transmission Ltd.,Lettre à NOVA Gas Transmission Ltd.- Wildhay River South Receipt Meter Station - Completeness determination - A4D5G2
TransCanada PipeLines Limited,MH-001-2013 Letter Revised Abandonment Trust Agreements - A4G4Y4
,NEB-213  - Letter to all Parties to GH-1-2004 - Hearing 29 March 2010 in Yellowknife (A1S3A9)
Imperial Oil,NEB-214A - Procedural Update No. 17 - Hearing Process for Final Argument (A1S3T8)
AltaGas Ltd.,Notice Letter to AltaGas DCLNG - A4S6G3
Woodside Energy Holdings Pty Ltd.,Notice letter to Woodside Energy - A4A0C2
NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd - Yellowhead Receipt Meter Station - A4I0H0
,NSMA-10A  - NSMA Can t Live Without Work (1E6F2)
Trans Mountain Pipeline ULC,ONÉ Lettre - Trans Mountain - Étude de fondation - condition 2 de l Ordonnance XO-T260-002-2015
"Twin Eagle Resource Management, LLC","Order ROE-10702014 to Twin Eagle Resources Management Canada, LLC re oil export - A3S0D8"
,Other (A0C9Z2)
Trans Mountain Pipeline ULC,Reply Letter Motion 10 Appendix 1 Definition of  Company  NEB Act - A4J3H1
,"Robyn, Allan - Northern Gateway Late Intervenor Request - A2K5E9"
,Supplemental Information (A0C8Q7)
,"Wier, Josette - Amendment Oct 13- letter to JRP - A3Q2S3"
NOVA Gas Transmission Ltd., North Montney PPBOR Cover Letter - NGTL PPBOR Samples Filing - A4Q6U9
